Firma,Przewidywana Cena
A,143.54051
AA,32.33712
AAL,10.297517
AAP,59.886475
AAPL,226.45793
ADBE,558.32495
ADSK,249.24254
AFRM,25.706848
AI,24.140415
AIR,66.41658
AKAM,98.54724
AL,50.658264
ALGN,223.78294
ALK,37.25851
ALLY,46.060886
AMAT,216.06493
AMCX,9.916918
AMD,146.39607
AMTD,0.7065564
AMZN,189.47896
ANET,350.35962
APD,265.95444
ASML,950.1915
ATHM,22.985273
AVGO,163.0917
AVTR,27.033697
AXON,309.13168
AXP,257.32755
AZO,3198.088
BA,189.64967
BABA,74.33742
BAC,41.131916
BALY,16.119566
BBY,86.57506
BIDU,84.328125
BILI,12.681671
BIO,327.92725
BJ,90.03465
BLDP,1.6510377
BLNK,2.3095124
BMBL,8.168313
BMWYY,31.40654
BSX,75.48692
BTBT,3.3358877
BWXT,101.0989
BYD,62.742275
C,65.7461
CAT,354.01477
CCL,16.26448
CHDN,146.8064
CHKP,186.00253
CHPT,1.4170904
CLF,15.342502
CMCSA,41.070415
CME,194.90323
CMI,297.0312
COF,155.17203
COST,837.5025
CRM,263.07294
CRWD,235.46199
CSCO,48.61821
CVS,59.658005
CZR,38.539646
DAL,43.541584
DAO,2.4809098
DD,84.74164
DDOG,117.92016
DE,381.2172
DFS,147.16876
DG,117.78989
DHR,282.3234
DIS,91.52691
DKNG,36.992218
DLTR,104.06456
DOCU,51.045498
DOV,187.95044
DOW,55.33747
DOYU,13.857244
EADSY,38.41924
EBAY,56.121014
ECL,234.90897
EDU,62.432884
EMN,105.31724
EMR,119.13166
ETN,310.46555
ETSY,60.723923
EV,23.100677
EW,62.660053
F,10.764096
FCEL,0.07263643
FIS,75.75074
FISV,164.85349
FOX,35.97196
FSLY,6.1299267
FTNT,59.22738
FTV,72.91031
FUBO,0.47935647
FUTU,61.623302
FVRR,20.366758
GD,302.5094
GDEN,33.94101
GE,173.68625
GM,44.89811
GMED,73.13061
GOOG,176.72206
GOOGL,175.07062
GOTU,2.4951954
GPC,150.02872
GPN,99.41931
GS,517.338
GTN,6.0809364
GWW,998.5034
HD,374.7834
HII,284.61404
HMC,32.603096
HON,207.74281
HUT,13.668126
HUYA,3.7324598
IAC,50.607098
IART,24.628277
IBKR,121.886116
IBM,195.0792
ICAGY,3.9650402
ICE,153.69939
INTC,30.116125
INTU,659.5946
IQ,2.8639698
IQV,251.53854
IR,102.18608
ISRG,452.61786
ITW,251.86687
JBLU,6.1489882
JD,24.98342
JNPR,38.265743
JPM,216.76227
KLAC,835.3784
KO,67.718575
KR,55.460957
LCID,2.6039715
LDOS,147.46405
LI,19.181074
LIN,462.29892
LMT,547.86945
LOW,250.42584
LRCX,937.39935
LUV,26.355318
LVS,39.15202
LYB,101.47198
LYFT,11.102372
MA,468.83447
MARA,19.042316
MCO,463.83328
MCRI,80.55254
MDB,248.9574
MDT,79.367905
MELI,1704.3739
META,485.6311
MGM,44.111782
MKTX,217.021
MLCO,5.396566
MMM,128.22923
MNST,52.306515
MS,105.55429
MSCI,551.90594
MSFT,428.33377
MTCH,34.860058
MTD,1548.9733
MU,111.17827
NCLH,17.851578
NDAQ,69.24199
NET,76.06764
NFLX,642.5304
NIO,3.4481177
NKLA,-28.972641
NOC,491.8196
NOW,827.97064
NSANY,6.2298317
NTES,92.65637
NUE,167.03845
NVDA,119.07557
NXST,189.42271
OKTA,90.71764
ORCL,141.85023
ORLY,1153.4243
OSK,111.27149
PANW,333.2502
PATH,10.949598
PCAR,100.560135
PD,20.43154
PDD,131.00671
PEN,166.31886
PENN,17.779016
PEP,175.08281
PH,571.7724
PINS,32.059364
PLTR,27.44292
PLUG,1.328708
PNC,184.45564
PPG,127.772224
PYPL,60.70278
QCOM,183.47699
QS,4.5290904
RACE,421.37564
RBLX,39.85043
RCL,160.88916
RGEN,164.03949
RIOT,9.127712
RIVN,13.738812
RMD,214.73372
ROK,283.04855
ROKU,50.99045
RRR,58.763134
RYAAY,102.014496
SAIC,126.722565
SAP,214.66528
SAVE,2.3223388
SCHW,65.88655
SCS,14.670573
SE,60.3286
SHOP,59.5097
SHW,357.06387
SNAP,12.115427
SNOW,125.40479
SOFI,7.2045903
SPCE,-11.767841
SPGI,494.0021
SPOT,350.05978
SQ,57.951412
STE,242.74466
STLA,16.817564
STLD,136.46567
SWK,102.87704
SYF,51.90522
SYK,334.6848
TAL,8.693513
TCEHY,45.34014
TECH,81.79292
TEX,65.41423
TFC,44.893547
TGT,149.32985
TIGR,3.52039
TM,195.47353
TME,14.144114
TMO,625.56995
TSCO,269.53275
TSLA,235.21664
TSM,168.38823
TWLO,52.471397
TXN,206.33902
TXT,94.86638
U,13.358613
UAL,45.412605
UBER,65.92328
UPST,21.41445
UPWK,11.163188
URI,772.0711
USB,45.146626
V,269.45084
VWAGY,11.312653
W,48.926117
WAT,340.33115
WB,6.8365164
WBA,11.062382
WDAY,229.81369
WFC,60.62669
WIX,154.73909
WKHS,-11.684826
WMT,69.80495
WYNN,82.42822
X,42.26416
XPEV,7.0084605
XRAY,26.301893
XYL,136.47195
YY,31.368235
ZBH,110.98756
ZI,10.326018
ZM,52.11476
ZS,179.81322
